car_list,,,,,,,,,,,,,,,,,,,,,,,,,
모델명,제조사,유종,배기량,공차중량,변속형식,도심주행연비,고속도로주행연비,복합연비,등급,CO2배출량,연비신고구분,국산/수입,자동차형식,자동차종류,승차정원,엔진형식,최고출력(ps/rpm),최고토크(kgm/rpm),연료공급방식,변속형식,굴림방식,타이어사이즈(전),타이어사이즈(후),연료탱크용량(ℓ),자동차유형
"셀토스 1.6디젤 2WD 16"" 타이어 (21)",기아,경유,"1,598cc","1,385kg",자동7,16.1㎞/ℓ,18.4㎞/ℓ,17.1㎞/ℓ,1등급,109g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,205/60R16,205/60R16,50,다목적형
"셀토스 1.6디젤 2WD 18"" 타이어 (21)",기아,경유,"1,598cc","1,425kg",자동7,15.3㎞/ℓ,17.1㎞/ℓ,16.1㎞/ℓ,1등급,116g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,235/45R18,235/45R18,50,다목적형
T-Roc 2.0TDI,폭스바겐,경유,"1,968cc","1,491kg",자동7,15.6㎞/ℓ,17.9㎞/ℓ,16.5㎞/ℓ,1등급,112g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTT,150 / 3000 - 4200,36.7 / 1600 - 2750,직접분사,자동7,FF,215/50 R18,215/50 R18,50.8,다목적형
토요타 Camry Hybrid,토요타,휘발유,"2,487cc","1,655kg",무단변속,17.3㎞/ℓ,16.8㎞/ℓ,17.1㎞/ℓ,1등급,91g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,235/45R18,235/45R18,49.3,일반형
토요타 Avalon Hybrid,토요타,휘발유,"2,487cc","1,645kg",무단변속,17.2㎞/ℓ,16.8㎞/ℓ,17.0㎞/ℓ,1등급,92g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,235/45R18,235/45R18,49.3,일반형
토요타 Camry Hybrid LE,토요타,휘발유,"2,487cc","1,620kg",무단변속,18.8㎞/ℓ,18.2㎞/ℓ,18.5㎞/ℓ,1등급,84g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,215/55R17,215/55R17,49.3,일반형
Mercedes-Benz A200 d,벤츠,경유,"1,950cc","1,505kg",자동8,14.4㎞/ℓ,19.0㎞/ℓ,16.1㎞/ℓ,1등급,116g/km,3개 부처 공동고시,수입,내연기관,승용차,5,654920,150/3400-4400,32.6/1400-3200,전자분사,자동8,FF,225/45 R18,225/45 R18,51,일반형
렉서스 UX250h 2WD,토요타,휘발유,"1,987cc","1,605kg",무단변속,17.2㎞/ℓ,16.2㎞/ℓ,16.7㎞/ℓ,1등급,93g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,M20A,146/6000,19.2/4400-5200,전자분사,무단변속,FF,225/50R18,225/50R18,40,다목적형
K5(DL3) 2.0GDI 하이브리드_18인치타이어,기아,휘발유,"1,999cc","1,540kg",자동6,18.1㎞/ℓ,17.8㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
K5(DL3) 2.0GDI 하이브리드_18인치(빌트인캠),기아,휘발유,"1,999cc","1,540kg",자동6,17.6㎞/ℓ,17.5㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
렉서스 ES300h,토요타,휘발유,"2,487cc","1,710kg",무단변속,17.3㎞/ℓ,17.1㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,235/45R18,235/45R18,49.3,일반형
투싼 1.6T-GDI 하이브리드 6AT,현대,휘발유,"1,598cc","1,590kg",자동6,16.9㎞/ℓ,15.3㎞/ℓ,16.2㎞/ℓ,1등급,99g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,235/60R18,235/60R18,52,다목적형
쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠),현대,휘발유,"1,999cc","1,535kg",자동6,17.3㎞/ℓ,17.8㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어,현대,휘발유,"1,999cc","1,535kg",자동6,18.1㎞/ℓ,17.8㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
아반떼 1.6GDI 하이브리드 (16“타이어),현대,휘발유,"1,580cc","1,330kg",자동6,21.4㎞/ℓ,20.7㎞/ℓ,21.1㎞/ℓ,1등급,74g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,205/55R16,205/55R16,42,일반형
아반떼 1.6GDI 하이브리드 (17“타이어),현대,휘발유,"1,580cc","1,340kg",자동6,20.3㎞/ℓ,18.6㎞/ℓ,19.5㎞/ℓ,1등급,81g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,225/45R17,225/45R17,42,일반형
Peugeot 2008 1.5 BlueHDi,,경유,"1,499cc","1,344kg",자동8,15.7㎞/ℓ,19.0㎞/ℓ,17.1㎞/ℓ,1등급,109g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,131/3750,30.61/1750,직접분사,자동8,FF,215/65R16,215/65R16,41,다목적형
토요타 Prius AWD,토요타,휘발유,"1,798cc","1,455kg",무단변속,21.4㎞/ℓ,20.3㎞/ℓ,20.9㎞/ℓ,1등급,74g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,2ZR,98/5200,14.5/3600,전자분사,무단변속,AWD,195/65R15,195/65R15,40,일반형
K5(DL3) 2.0GDI 하이브리드_17인치(빌트인캠),기아,휘발유,"1,999cc","1,515kg",자동6,18.3㎞/ℓ,19.3㎞/ℓ,18.8㎞/ℓ,1등급,85g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
K5(DL3) 2.0GDI 하이브리드_17인치타이어,기아,휘발유,"1,999cc","1,515kg",자동6,18.8㎞/ℓ,19.3㎞/ℓ,19.1㎞/ℓ,1등급,83g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
K5(DL3) 2.0GDI 하이브리드_16인치(빌트인캠),기아,휘발유,"1,999cc","1,495kg",자동6,19.4㎞/ℓ,20.0㎞/ℓ,19.7㎞/ℓ,1등급,81g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,205/65R16,205/65R16,50,일반형
K5(DL3) 2.0GDI 하이브리드_16인치타이어,기아,휘발유,"1,999cc","1,495kg",자동6,19.9㎞/ℓ,20.2㎞/ℓ,20.1㎞/ℓ,1등급,79g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,205/65R16,205/65R16,50,일반형
"코나 1.6GDI 하이브리드 (16"" 타이어)",현대,휘발유,"1,580cc","1,395kg",자동6,20.1㎞/ℓ,18.4㎞/ℓ,19.3㎞/ℓ,1등급,82g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,205/60R16,205/60R16,38,다목적형
"코나 1.6GDI 하이브리드 (18"" 타이어)",현대,휘발유,"1,580cc","1,425kg",자동6,18.1㎞/ℓ,16.6㎞/ℓ,17.4㎞/ℓ,1등급,92g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4LE,105/5700,15.0/4000,직접분사,자동6,FF,225/45R18,225/45R18,38,다목적형
"코나 1.6디젤 2WD (16"" 타이어)",현대,경유,"1,598cc","1,370kg",자동7,16.7㎞/ℓ,18.6㎞/ℓ,17.5㎞/ℓ,1등급,105g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,205/60R16,205/60R16,50,다목적형
"코나 1.6디젤 2WD (17"" 타이어)",현대,경유,"1,598cc","1,380kg",자동7,16.6㎞/ℓ,18.2㎞/ℓ,17.3㎞/ℓ,1등급,107g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,215/55R17,215/55R17,50,다목적형
"코나 1.6디젤 2WD (18"" 타이어)",현대,경유,"1,598cc","1,410kg",자동7,16.2㎞/ℓ,17.7㎞/ℓ,16.8㎞/ℓ,1등급,110g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,235/45R18,235/45R18,50,다목적형
쏘나타(DN8) 2.0GDI 하이브리드_17인치(빌트인캠),현대,휘발유,"1,999cc","1,505kg",자동6,18.4㎞/ℓ,19.1㎞/ℓ,18.8㎞/ℓ,1등급,85g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
"K7 2.4하이브리드 (PE/17""타이어)",기아,휘발유,"2,359cc","1,675kg",자동6,16.1㎞/ℓ,16.2㎞/ℓ,16.2㎞/ℓ,1등급,97g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4KK,159/5500,21/4500,MPI,자동6,FF,225/55R17,225/55R17,65,일반형
쏘나타(DN8) 2.0GDI 하이브리드_16인치(빌트인캠),현대,휘발유,"1,999cc","1,495kg",자동6,19.4㎞/ℓ,20.1㎞/ℓ,19.8㎞/ℓ,1등급,80g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,205/65R16,205/65R16,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어,현대,휘발유,"1,999cc","1,505kg",자동6,19.0㎞/ℓ,19.1㎞/ℓ,19.1㎞/ℓ,1등급,83g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_16인치타이어,현대,휘발유,"1,999cc","1,495kg",자동6,20.0㎞/ℓ,20.1㎞/ℓ,20.1㎞/ℓ,1등급,79g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,205/65R16,205/65R16,50,일반형
"셀토스 1.6디젤 4WD (16"" 타이어)",기아,경유,"1,598cc","1,470kg",자동7,15.2㎞/ℓ,17.2㎞/ℓ,16.1㎞/ℓ,1등급,116g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,4WD,205/60R16,205/60R16,50,다목적형
"셀토스 1.6디젤 2WD (17"" 타이어)",기아,경유,"1,598cc","1,410kg",자동7,16.2㎞/ℓ,18.1㎞/ℓ,17.0㎞/ℓ,1등급,109g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,215/55R17,215/55R17,50,다목적형
"셀토스 1.6디젤 2WD (16"" 타이어)",기아,경유,"1,598cc","1,385kg",자동7,16.7㎞/ℓ,18.7㎞/ℓ,17.6㎞/ℓ,1등급,105g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,205/60R16,205/60R16,50,다목적형
"셀토스 1.6디젤 2WD (18""타이어)",기아,경유,"1,598cc","1,425kg",자동7,15.7㎞/ℓ,17.5㎞/ℓ,16.4㎞/ℓ,1등급,113g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,235/45R18,235/45R18,50,다목적형
토요타 Prius 2WD,토요타,휘발유,"1,798cc","1,380kg",무단변속,23.3㎞/ℓ,21.5㎞/ℓ,22.4㎞/ℓ,1등급,68g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,2ZR,98/5200,14.5/3600,전자분사,무단변속,FF,195/65R15,195/65R15,43,일반형
렉서스 UX250h 2WD,토요타,휘발유,"1,987cc","1,605kg",무단변속,17.2㎞/ℓ,16.2㎞/ℓ,16.7㎞/ℓ,1등급,95g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,M20A,146/6000,19.2/4400-5200,전자분사,무단변속,FF,225/50R18,225/50R18,40,다목적형
토요타 Camry Hybrid LE,토요타,휘발유,"2,487cc","1,620kg",무단변속,17.8㎞/ℓ,17.2㎞/ℓ,17.5㎞/ℓ,1등급,92g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,215/55R17,215/55R17,49.3,일반형
아반떼(AD PE) 1.6디젤 7DCT,현대,경유,"1,582cc","1,355kg",자동7,16.3㎞/ℓ,19.9㎞/ℓ,17.8㎞/ℓ,1등급,104g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FB,136/4000,30.6/1750~2500,CRD,자동7,FF,205/55R16,205/55R16,47,일반형
아반떼(AD PE) 1.6디젤_7DCT (17''타이어),현대,경유,"1,582cc","1,390kg",자동7,15.7㎞/ℓ,19.3㎞/ℓ,17.2㎞/ℓ,1등급,108g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FB,136/4000,30.6/1750~2500,CRD,자동7,FF,225/45R17,225/45R17,47,일반형
말리부 1.8 HYBRID,한국지엠,휘발유,"1,796cc","1,530kg",무단변속,17.6㎞/ℓ,16.5㎞/ℓ,17.1㎞/ℓ,1등급,95g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,LKN,124/5000,18.0/4750,직접분사,무단변속,FF,P225/55R17,P225/55R17,49.2,일반형
토요타 Avalon Hybrid,토요타,휘발유,"2,487cc","1,660kg",무단변속,16.7㎞/ℓ,16.4㎞/ℓ,16.6㎞/ℓ,1등급,96g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,235/45R18,235/45R18,49.3,일반형
렉서스 ES300h,토요타,휘발유,"2,487cc","1,715kg",무단변속,17.1㎞/ℓ,17.0㎞/ℓ,17.0㎞/ℓ,1등급,93g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,A25A,178/5700,22.5/3600-5200,전자분사,무단변속,FF,235/45R18,235/45R18,49.3,일반형
